[Summary],,,,,,,,,,,,,,
Novonix HPC data file,,,,,,,,,,,,,,
Novonix,,,,,,,,,,,,,,
Channel: 13,,,,,,,,,,,,,,
Cell,,,,,,,,,,,,,,
Serial Number: ,,,,,,,,,,,,,,
Description: LGM50_120,,,,,,,,,,,,,,
Protocol: C_over_2_discharge.pro1,,,,,,,,,,,,,,
Mass (g): 1.000,,,,,,,,,,,,,,
Capacity (Ah): 1.000,,,,,,,,,,,,,,
Area (cm2): 1.000,,,,,,,,,,,,,,
DC Offset Voltage (V): 0.00000,,,,,,,,,,,,,,
Started: 5/4/2021 7:14:08 PM,,,,,,,,,,,,,,
Version: 2.2.0.2,,,,,,,,,,,,,,
[End Summary],,,,,,,,,,,,,,
[Protocol],,,,,,,,,,,,,,
Protocol: C_over_2_discharge.pro1,,,,,,,,,,,,,,
[0: Open_circuit_storage:],,,,,,,,,,,,,,
   [End step when step time > 2 hours],,,,,,,,,,,,,,
   [Save data when Δt > 120 seconds],,,,,,,,,,,,,,
   [StepLimits -999 999999 0 500 0 100 0 100 -45 80 -40 80 2.3 4.3 2.3 4.3 0.01 10 0.01 20],,,,,,,,,,,,,,
[6: Increment_cycle_counter:],,,,,,,,,,,,,,
[5: Repeat: 5 time(s) Node count: 7],,,,,,,,,,,,,,
   [3: CC-CV_charge: 1.5 A to 4.2 V],,,,,,,,,,,,,,
      [Any time, End step when step time > 6 hours or when capacity > 5.5 Ah],,,,,,,,,,,,,
      [During CV, End step when abs(I) < 0.05 A],,,,,,,,,,,,,
      [During CC, Save data when ΔV > 0.01 V or when Δt > 120 seconds],,,,,,,,,,,,,
      [During CV, Save data when ΔI > 1 mA or when Δt > 120 seconds],,,,,,,,,,,,,
      [StepLimits 0 10 0 10 0 100 0 100 -45 80 -40 80 2.4 4.3 2.5 4.3 0.01 20 0.01 20],,,,,,,,,,,,,,
   [0: Open_circuit_storage:],,,,,,,,,,,,,,
      [End step when step time > 30 minutes],,,,,,,,,,,,,,
      [Save data when Δt > 120 seconds],,,,,,,,,,,,,,
      [StepLimits -999 999999 0 500 0 100 0 100 -45 80 -40 80 2.4 4.3 2.4 4.3 -999 10 0.01 20],,,,,,,,,,,,,,
   [6: Increment_cycle_counter:],,,,,,,,,,,,,,
   [2: Constant_current_discharge: 2.5 A to 2.5 V],,,,,,,,,,,,,,
      [End step when voltage < 2.5 V or when capacity > 6 Ah],,,,,,,,,,,,,,
      [Save data when Δt > 120 seconds or when ΔV > 0.01 V],,,,,,,,,,,,,,
      [StepLimits 0 10 0 10 0 100 0 100 -45 80 -40 80 2.3 4.3 2.3 4.3 0.01 10 0.01 10],,,,,,,,,,,,,,
   [6: Increment_cycle_counter:],,,,,,,,,,,,,,
   [0: Open_circuit_storage:],,,,,,,,,,,,,,
      [End step when step time > 30 minutes],,,,,,,,,,,,,,
      [Save data when Δt > 120 seconds],,,,,,,,,,,,,,
      [StepLimits -999 999999 0 500 0 100 0 100 -45 80 -40 80 2.3 4.3 2.3 4.3 -999 10 0.01 20],,,,,,,,,,,,,,
   [6: Increment_cycle_counter:],,,,,,,,,,,,,,
[0: Open_circuit_storage:],,,,,,,,,,,,,,
   [End step when step time > 10 hours],,,,,,,,,,,,,,
   [Save data when ΔV > 0.01 V or when Δt > 120 seconds],,,,,,,,,,,,,,
   [StepLimits -999 999999 0 500 0 100 0 100 -45 80 -40 80 2.4 4.3 2.4 4.3 -999 999999 0.01 20],,,,,,,,,,,,,,
[End Protocol],,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,
Date and Time,Cycle Number,Step Type,Run Time (h),Step Time (h),Current (A),Potential (V),Capacity (Ah),Temperature (°C),Circuit Temperature (°C),Energy (Wh),dVdt (I/h),dIdt (V/h),Step Number,Step position
05/04/2021 19:14,1,0,0,0,0,3.08530678,0,24.81069756,18.849,0,0,0,1,1
05/04/2021 19:16,1,0,0.0333389,0.0333389,0,3.08529439,0,24.80858612,18.536,0,0,0,1,0
05/04/2021 19:18,1,0,0.0666806,0.0666806,0,3.08530516,0,24.81251907,18.381,0,0,0,1,0
05/04/2021 19:20,1,0,0.1000139,0.1000139,0,3.08532599,0,24.80292702,18.962,0,0,0,1,0
05/04/2021 19:22,1,0,0.1333806,0.1333806,0,3.08532855,0,24.80148888,18.184,0,0,0,1,0
05/04/2021 19:24,1,0,0.1667222,0.1667222,0,3.08533203,0,24.79832458,18.145,0,0,0,1,0
05/04/2021 19:26,1,0,0.2000889,0.2000889,0,3.08535364,0,24.79496765,18.836,0,0,0,1,0
05/04/2021 19:28,1,0,0.2334306,0.2334306,0,3.08536704,0,24.79036331,19.659,0,0,0,1,0
05/04/2021 19:30,1,0,0.2667972,0.2667972,0,3.08537595,0,24.79966736,19.611,0,0,0,1,0
05/04/2021 19:32,1,0,0.3001306,0.3001306,0,3.08538765,0,24.79611778,19.16,0,0,0,1,0
05/04/2021 19:34,1,0,0.3334722,0.3334722,0,3.08540794,0,24.80417442,19.364,0,0,0,1,0
05/04/2021 19:36,1,0,0.3668389,0.3668389,0,3.08542304,0,24.80618858,19.533,0,0,0,1,0
05/04/2021 19:38,1,0,0.4001806,0.4001806,0,3.08540833,0,24.80292702,19.378,0,0,0,1,0
05/04/2021 19:40,1,0,0.4335472,0.4335472,0,3.08542916,0,24.79899597,18.826,0,0,0,1,0
05/04/2021 19:42,1,0,0.4668889,0.4668889,0,3.08543358,0,24.79400826,18.447,0,0,0,1,0
05/04/2021 19:44,1,0,0.5002556,0.5002556,0,3.08543211,0,24.80609322,18.072,0,0,0,1,0
05/04/2021 19:46,1,0,0.5335889,0.5335889,0,3.08544922,0,24.79813194,18.849,0,0,0,1,0
05/04/2021 19:48,1,0,0.5669306,0.5669306,0,3.08545619,0,24.79688454,19.522,0,0,0,1,0
05/04/2021 19:50,1,0,0.6002972,0.6002972,0,3.08546177,0,24.80426979,19.798,0,0,0,1,0
05/04/2021 19:52,1,0,0.6336389,0.6336389,0,3.08547478,0,24.80743599,19.307,0,0,0,1,0
05/04/2021 19:54,1,0,0.6670056,0.6670056,0,3.08547502,0,24.80916214,18.785,0,0,0,1,0
05/04/2021 19:56,1,0,0.7003472,0.7003472,0,3.08547393,0,24.80916214,18.47,0,0,0,1,0
05/04/2021 19:58,1,0,0.7337139,0.7337139,0,3.08548431,0,24.8102169,18.262,0,0,0,1,0
05/04/2021 20:00,1,0,0.7670556,0.7670556,0,3.08549965,0,24.80465317,18.072,0,0,0,1,0
05/04/2021 20:02,1,0,0.8004222,0.8004222,0,3.08550429,0,24.80810738,18.351,0,0,0,1,0
05/04/2021 20:04,1,0,0.8337639,0.8337639,0,3.08551948,0,24.80494118,19.091,0,0,0,1,0
05/04/2021 20:06,1,0,0.8671306,0.8671306,0,3.08554101,0,24.80638123,19.953,0,0,0,1,0
05/04/2021 20:08,1,0,0.9004722,0.9004722,0,3.08554333,0,24.81232643,19.579,0,0,0,1,0
05/04/2021 20:10,1,0,0.9338389,0.9338389,0,3.08555286,0,24.81175232,19.036,0,0,0,1,0
05/04/2021 20:12,1,0,0.9671722,0.9671722,0,3.0855668,0,24.81453323,18.702,0,0,0,1,0
05/04/2021 20:14,1,0,1.0005111,1.0005111,0,3.08556688,0,24.81606865,18.429,0,0,0,1,0
05/04/2021 20:16,1,0,1.0338806,1.0338806,0,3.08556943,0,24.81395721,18.925,0,0,0,1,0
05/04/2021 20:18,1,0,1.0672194,1.0672194,0,3.0855857,0,24.81395721,19.127,0,0,0,1,0
05/04/2021 20:20,1,0,1.1005889,1.1005889,0,3.08559197,0,24.82163048,19.98,0,0,0,1,0
05/04/2021 20:22,1,0,1.1339278,1.1339278,0,3.08560715,0,24.82211113,19.643,0,0,0,1,0
05/04/2021 20:24,1,0,1.1672972,1.1672972,0,3.08561312,0,24.82652283,19.299,0,0,0,1,0
05/04/2021 20:26,1,0,1.2006361,1.2006361,0,3.08562373,0,24.82354927,18.841,0,0,0,1,0
05/04/2021 20:28,1,0,1.2340056,1.2340056,0,3.08563295,0,24.8256588,18.539,0,0,0,1,0
05/04/2021 20:30,1,0,1.2673444,1.2673444,0,3.08564155,0,24.83074188,19.066,0,0,0,1,0
05/04/2021 20:32,1,0,1.3007139,1.3007139,0,3.08565092,0,24.82498741,19.415,0,0,0,1,0
05/04/2021 20:34,1,0,1.3340528,1.3340528,0,3.08566439,0,24.82872772,20.283,0,0,0,1,0
05/04/2021 20:36,1,0,1.3674222,1.3674222,0,3.08565394,0,24.82968712,20.066,0,0,0,1,0
05/04/2021 20:38,1,0,1.4007611,1.4007611,0,3.08565828,0,24.83515549,19.54,0,0,0,1,0
05/04/2021 20:40,1,0,1.4341306,1.4341306,0,3.08567508,0,24.83563423,19.106,0,0,0,1,0
05/04/2021 20:42,1,0,1.4674694,1.4674694,0,3.08567547,0,24.84311485,18.726,0,0,0,1,0
05/04/2021 20:44,1,0,1.5008389,1.5008389,0,3.08569313,0,24.83621025,18.518,0,0,0,1,0
05/04/2021 20:46,1,0,1.5341722,1.5341722,0,3.08569452,0,24.83496284,18.986,0,0,0,1,0
05/04/2021 20:48,1,0,1.5675111,1.5675111,0,3.08570754,0,24.83457947,19.426,0,0,0,1,0
05/04/2021 20:50,1,0,1.6008806,1.6008806,0,3.08570064,0,24.83342743,20.168,0,0,0,1,0
05/04/2021 20:52,1,0,1.6342194,1.6342194,0,3.08570816,0,24.83323669,19.927,0,0,0,1,0
05/04/2021 20:54,1,0,1.6675889,1.6675889,0,3.08571296,0,24.83457947,19.37,0,0,0,1,0
05/04/2021 20:56,1,0,1.7009278,1.7009278,0,3.08572698,0,24.84148598,19.54,0,0,0,1,0
05/04/2021 20:58,1,0,1.7342972,1.7342972,0,3.08572783,0,24.84340286,19.76,0,0,0,1,0
05/04/2021 21:00,1,0,1.7676361,1.7676361,0,3.08573085,0,24.84119797,19.734,0,0,0,1,0
05/04/2021 21:02,1,0,1.8010056,1.8010056,0,3.08574712,0,24.83937454,19.11,0,0,0,1,0
05/04/2021 21:04,1,0,1.8343444,1.8343444,0,3.08576121,0,24.8357296,18.642,0,0,0,1,0
05/04/2021 21:06,1,0,1.8677139,1.8677139,0,3.08578065,0,24.83774376,18.651,0,0,0,1,0
05/04/2021 21:08,1,0,1.90105,1.90105,0,3.0858018,0,24.83179855,18.916,0,0,0,1,0
05/04/2021 21:10,1,0,1.9343861,1.9343861,0,3.08580529,0,24.83256531,19.399,0,0,0,1,0
05/04/2021 21:12,1,0,1.9677583,1.9677583,0,3.0858152,0,24.83141327,19.562,0,0,0,1,0
05/04/2021 21:14,1,0,2,2,0,3.08581202,0,24.82949638,19.076,0,0,0,1,3
05/04/2021 21:14,1,0,2.0000083,2.0000083,0,3.08581202,0,24.83467484,19.076,0,0,0,1,2
05/04/2021 21:14,2,7,2.0001333,0,0,3.08580652,0,24.82412529,19.07,0,0,0,3,1
05/04/2021 21:14,2,7,2.000175,0.0000417,1.505461914,3.14258052,0.000125455,24.82412529,19.07,0.000394253,0,0,3,0
05/04/2021 21:14,2,7,2.0002167,0.0000833,1.499121338,3.15452256,0.000187919,24.82412529,19.07,0.000591295,0,0,3,0
05/04/2021 21:14,2,7,2.0003417,0.0002083,1.499711173,3.164742,0.000375372,24.85951614,19.069,0.001184102,0,0,3,0
